file,citation_title,abstracts,authors,affiliations,classifications,subject_area_name
212.html,Fractal dimension of large aggregates under different flocculation conditions,"The two-dimensional fractal dimension (Df) of large aggregates of kaolin (> 540 μm) during the shear flocculation process for kaolin solution was investigated using non-intrusive in situ image-based acquisition system. Separate experiments were also carried out for three different sized sub-ranges of large aggregates (0.540–1.125 mm; 1.125–1.750 mm; 1.750–2.375 mm). Digital images were taken at a frequency of 10 Hz for 10 s for each different pairs of gradients of velocity (Gf) of 20 and 60 s− 1and flocculation times of 2; 3; 4; 5; 10; 20; 30; 60; 120 and 180 min. For the same conditions, particle size distribution (PSD) was also determined. Under the investigated conditions, the lowest Gfproduced the greatest Df(1.69) at a flocculation time of 30 min for the whole range of aggregates. Also, the evolution of the longest length of aggregate (l) and Dfwith time, showed that the dynamic steady-state was reached at different times for each shear rate and l ranges. However, Dfvaried for each size sub-range (ca. 1.1 to 1.8). Finally, the behavior of the aggregate structure may be understood by the predominance of different aggregation mechanisms such as cluster-cluster for Gfof 60 s− 1and particle-cluster for Gfof 20 s− 1. © 2017 Elsevier B.V.",Moruzzi Rodrigo B.; de Oliveira André L.; da Conceição Fabiano T.; Gregory John; Campos Luiza C.,Universidade Estadual Paulista (UNESP)\Instituto de Geociências e Ciências Exatas\Brazil; Department of Civil\Environmental and Geomatic Engineering\United Kingdom,-,Aggregates; Flocculation; Fractal dimension; Shear rate
213.html,Analysis of arrayed nanocapacitor formed on nanorods by flow-rate interruption atomic layer deposition,Flow-rate interruption (FRI) atomic layer deposition (ALD) technique was adopted to fabricate AZO/Al2O3/AZO thin film on a ZnO nanorod array template at low temperature. The high quality amorphous dielectric Al2O3layer was deposited at 50 °C. The template with an average of 0.73 μm in length was made by a simple hydrothermal method on a c−plane sapphire with an AZO seed layer. Using Polystyrene (PS) microspheres were served as a mask to form vertical and well-aligned ZnO nanostructures. Field-emission scanning electron microscope (FESEM) and transmission electron microscope (TEM) images show ALD to have achieved good step coverage and thickness control in the thin films structure coating. The capacitance density of the arrayed template nanocapacitor increased more than 100% than those of the thin film capacitor at an applied frequency of 10 kHz. These results suggest that the ZnO-arrayed template could enhance energy storage capability by providing significant surface area. This structure provides a concept for high surface-area nanocapacitor applications.                          © 2017 Elsevier B.V.,Lin Bo-Cheng; Ku Ching-Shun; Lee Hsin-Yi; Chakroborty Subhendu; Wu Albert T.,Department of Chemical and Material Engineering\National Central University\Taiwan; National Synchrotron Radiation Research Center\Hsinchu Science Park\Taiwan,-,Atomic layer deposition; Hydrothermal growth; Nanocapacitor; Nanosphere lithography; ZnO nanorod arrays
214.html,Application of phytoscreening to three hazardous waste sites in Arizona,"The great majority of prior phytoscreening applications have been conducted in humid and temperate environments wherein groundwater is relatively shallow (~ 1–6 m deep). The objective of this research is to evaluate its use in semi-arid environments for sites with deeper groundwater (> 10 m). To that end, phytoscreening is applied to three chlorinated-solvent hazardous-waste sites in Arizona. Contaminant concentrations were quantifiable in tree-tissue samples collected from two of the sites (Nogales, Park-Euclid). Contaminant concentrations were detectable, but not quantifiable, for the third site. Tree-tissue concentrations of tetrachloroethene (PCE) ranged from approximately 400–5000 ug/kg wet weight for burrobrush, cottonwood, palo verde, and velvet mesquite at the Nogales site. In addition to standard trunk-core samples, leaf samples were collected to test the effectiveness of a less invasive sampling method. Leaf-sample concentrations were quantifiable, but several times lower than the corresponding core-sample concentrations. Comparison of results obtained for the test sites to those reported in the literature suggest that tree species is a major factor mediating observed results. One constraint faced for the Arizona sites was the relative scarcity of mature trees available for sampling, particularly in areas adjacent to industrial zones. The results of this study illustrate that phytoscreening can be used effectively to characterize the presence of groundwater contamination for semi-arid sites with deeper groundwater. © 2017 Elsevier B.V.",Duncan Candice M.; Mainhagu Jon; Virgone Kayla; Ramírez Denise Moreno; Brusseau Mark L.,Environmental Science and Technology Department\College of Agriculture and Natural Resources\United States; Soil\Water and Environmental Science Department\United States; Hydrology and Atmospheric Sciences Department\School of Earth and Environmental Sciences\United States; Superfund Research Program - Community Engagement Core\Dean Carter Binational Center for Environmental Health Sciences\United States,-,Phytoscreening; Site characterization; Tree core samples; VOCs
215.html,"Assessment of the bioavailability, bioaccessibility and transfer of heavy metals in the soil-grain-human systems near a mining and smelting area in NW China","Elucidating the transfer behaviour of heavy metals from soils to grains and ultimately to humans is of great significance for both human health risk assessment and pollution control. In this study, the bioavailability of heavy metals (Cd, Cu, Pb, Zn, Cr and Ni) in farmland soils and bioaccessibility in grains (spring wheat, maize and rice) were determined to elaborate transfer dynamics in the soil-grain-human systems near a mining and smelting area in the Dongdagou watershed, Baiyin district, Gansu province, NW China. The results showed that Cd, Cu, Pb and Zn concentrations in soils were elevated compared to background levels, while Cr and Ni concentrations were relatively low throughout the region. High levels of bioavailable soil Cd were found using both EDTA and CH3COOH extraction methods. Mean concentrations of Cd, Pb and Zn in spring wheat grains and the Cd and Cr concentrations in maize grains exceeded the relevant maximum levels for pollutants according to the Chinese national standards for food safety. Except for Ni (41.90%) and Pb (31.39%), heavy metal bioaccessibility was relatively low in grains, ranging from 10.80% (Cd) to 17.18% (Zn). CH3COOH-extracted Cd, Pb and Ni, EDTA-extracted Zn, and total Cu in soils were the best indices for evaluation of uptake in grains (R2= 0.54–0.91, p < 0.001). Internal exposure doses of Cd and Ni in humans from spring wheat grain consumption was predicted by the linear correlations between bioaccessible and total metal concentrations (R2= 0.61 and 0.67; p < 0.001). The results from this study provide sufficient data and theoretical support for the use of these methods for local pollution prevention and control. © 2017 Elsevier B.V.",Liu Bailin; Ai Shiwei; Zhang Wenya; Huang Dejun; Zhang Yingmei,Gansu Key Laboratory of Biomonitoring and Bioremediation for Environmental Pollution\School of Life Sciences\China,-,Agroecosystem; Bioaccessibility; Bioavailability; Heavy metals; In vitro stimulated digestion; Transfer behaviour
216.html,Quaternary schematics for property engineering of CdSe thin films,"The synthesis of quaternary Cd1-xZnxSySe1-y(0 ≤ x = y ≤ 0.35) thin films was done through indigenously developed chemical solution growth process. As-obtained thin films were subjected to the physical, chemical, structural and optical characterizations. The nearly hydrophobic nature of the as-deposited films except binary CdSe was observed through the wettability studies. The colorimetric studies supported a change in physical color attributes. The elemental analysis done confirmed the formation of Cd(Zn, S)Se and the chemical states of constituent elements as Cd2+, Zn2+, S2−and Se2−. Structural assessment suggested the formation of the polycrystalline quaternary phase of the hexagonal wurtzite structure. The Raman spectroscopy was also employed for the confirmation studies on Cd1-xZnxSySe1-ythin films. Morphological observations indicated microstructural transformation from an aggregated bunch of nano-sized globular grains into a rhomboid network of petal/flakes like crystallites. The atomic force micrographs (AFM) revealed the enhancement in the hillock structures. From advanced AFM characterizations, we observed that the CdSe thin film has leptokurtic (Sku= 3.23) surface, whereas, quaternary Cd(Zn, S)Se films have platykurtic (Sku< 3) surface. The orientation of the surface morphology was observed through the angular spectrum studies. The optical absorption studies revealed direct allowed transition for the films with a continuous modulation of the energy bandgap from 1.8 eV to 2.31 eV.                          © 2017 Elsevier B.V.",-,Thin Film & Solar Studies Research Laboratory\Solapur University\India; Electrotechnical Institute\Division of Electrotechnology & Materials Science\Poland; Division of Physics & Semiconductor Science\Dongguk University\South Korea; Department of Physics\Savitribai Phule Pune University\India,-,AFM; Chemical synthesis; Colorimetry; Raman; SEM; XPS
217.html,Quantitative estimation of 21st-century urban greenspace changes in Chinese populous cities,"Understanding the spatiotemporal changes of urban greenspace is a critical requirement for supporting urban planning and maintaining the function of urbanities. Although plenty of previous studies have attempted to estimate urban greenspace changes in China, there still remain shortcomings such as inconsistent surveying procedures and insufficient spatial resolution and city samples. Using cloud-free Landsat image composites in circa years 2000 and 2014, and Defense Meteorological Program Satellite Program's Operational Line-scan System (DMSP/OLS) nighttime lights dataset, we quantitatively estimated the urban greenspace changes regarding both administrative divisions and urban core boundaries across 98 Chinese populous cities. Results showed that a consistent decline of urban greenspace coverage was identified at both old and new urban areas in the majority of analyzed cities (i.e., 81.63% of cities regarding the administrative boundaries, and 86.73% of cities regarding the urban core boundaries). Partial correlation analysis also revealed that total urban greenspace area shrank as a linear function of the core urban expansion (R2= 0.28, P < 0.001), and a significant correlation was confirmed between population change and urban greenspace change across those Chinese populous cities included in this study (R2= 0.11, P < 0.001). © 2017",Chen Bin; Nie Zhen; Chen Ziyue; Xu Bing,Ministry of Education Key Laboratory for Earth System Modelling\Department of Earth System Science\China; State Key Laboratory of Remote Sensing Science\College of Global Change and Earth System Science\China; Department of Geography\University of Utah\United States,-,Greenspace changes; Remote sensing; Urban core; Urbanization
218.html,Electrical current at micro-/macro-scale of undoped and nitrogen-doped MWPECVD diamond films,"Chemical, structural, morphological and micro-/macro-electrical properties of undoped and nitrogen-(N-)doped diamond films are determined by X-ray photoelectron spectroscopy, Raman and photoluminescence spectroscopies, field emission scanning electron microscopy, atomic force microscopy, scanning capacitance microscopy (SCM) and two points technique for I–V characteristics, respectively. The characterization results are very useful to examine and understand the relationship among these properties. The effect of the nitrogen incorporation in diamond films is investigated through the evolution of the chemical, structural, morphological and topographical features and of the electrical behavior. The distribution of the electrical current is first assessed at millimeter scale on the surface of diamond films and then at micrometer scale on small regions in order to establish the sites where the carriers preferentially move. Specifically, the SCM images indicate a non-uniform distribution of carriers on the morphological structures mainly located along the grain boundaries. A good agreement is found by comparing the electrical currents at the micro- and macro-scale. This work aims to highlight phenomena such as photo- and thermionic emission from N-doped diamond useful for microelectronic engineering. © 2017 Elsevier B.V.",-,P.LAS.M.I Lab@CNR-NANOTEC\Via Amendola 122/D\Italy; Dipartimento di Chimica\Università degli Studi\Italy,-,Diamond films; Electrical current at micro-/macro-scale; Grain boundaries; Grains; Nitrogen doping; Scanning capacitance microscopy
219.html,Factors affecting oxidative peat decomposition due to land use in tropical peat swamp forests in Indonesia,"The increasing frequency of fire due to drainage of tropical peatland has become a major environmental problem in Southeast Asia. To clarify the effects of changes in land use on carbon dioxide emissions, we measured oxidative peat decomposition (PD) at different stages of disturbance at three sites in Central Kalimantan, Indonesia: an undrained peat swamp forest (UF), a heavily drained peat swamp forest (DF), and a drained and burned ex-forest (DB). PD exhibited seasonality, being less in the wet season and greater in the dry season. From February 2014 to December 2015, mean PD (± SE) were 1.90 ± 0.19, 2.30 ± 0.33, and 1.97 ± 0.25 μmol m− 2s− 1at UF, DF, and DB, respectively. The groundwater level (GWL) was a major controlling factor of PD at all sites. At UF and DF, PD and GWL showed significant quadratic relationships. At DB, PD and GWL showed significant positive and negative relationships during the dry and wet seasons, respectively. Using these relationships, we estimated annual PD from GWL data for 2014 and 2015 as 698 and 745 g C m− 2yr− 1at UF (mean GWL: − 0.23 and − 0.39 m), 775 and 825 g C m− 2yr− 1at DF (− 0.55 and − 0.59 m), and 646 and 748 g C m− 2yr− 1at DB (− 0.22 and − 0.62 m), respectively. The annual PD was significantly higher in DF than in UF or DB, in both years. Despite the very dry conditions, the annual PD values at these sites were much lower than those reported for tropical peat at plantations (e.g., oil palm, rubber, and acacia). The differences in the relationship between PD and GWL indicate that separate estimations are required for each type of land. Moreover, our results suggest that PD can be enhanced by drainage both in forests and at burned sites. © 2017 Elsevier B.V.",Itoh Masayuki; Okimoto Yosuke; Hirano Takashi; Kusin Kitso,Center for Southeast Asian Studies\Kyoto University\Japan; Research Faculty of Agriculture\Hokkaido University\Japan; CIMTROP\University of Palangkaraya\Indonesia,-,Drainage; Land-use change; Oxidative peat decomposition; Trenching; Tropical peat
22.html,Blue painted pottery from a mid-18th Dynasty royal mud-brick structure in northwest Saqqara,"Blue painted pottery is one of the most characteristic ceramic types in New Kingdom Egypt, dating from the mid 18th Dynasty with the reign of Amenophis II, to the mid 20th Dynasty during the reign of Ramesses IV. One of the largest deposits of blue painted pottery dating to the mid 18th Dynasty was found from the site in northwest Saqqara, especially from a royal mud-brick structure. The blue painted pottery from this structure provides some clues to the understanding of a finer chronology of blue painted pottery in the mid 18th Dynasty, which still remains uncertain due to the lack of contextualized data. This paper aims to examine the chronology of the mentioned blue painted pottery in order to understand its development in the mid 18th Dynasty, during the reigns of Amenophis II and Tuthmosis IV, which correspond to the earliest phase of its production. The examination on the basis of the mentioned blue painted pottery has revealed some aspects of development in the mid 18th Dynasty. The transition of motifs, painting techniques, and fabrics indicate that the blue painted pottery gradually proceeded towards mass-production in the New Kingdom. The motifs are transferred from realistic to formalized representations. The painting techniques are altered as well: The decoration was carefully executed piece-by-piece in the reigns of Amenophis II and Tuthmosis IV, while the decorations were conducted without great care, using wheel or turntable, from the reign of Amenophis III. The Marl clay fabric was principally used in the reigns of Amenophis II and Tuthmosis IV, whilst the use of Nile silt fabric was gradually increased from the reign of Amenophis III and predominantly in Amarna. Also, the regional variations of blue painted pottery from Memphis and Thebes can be recognized. If the workshops existed in two areas, one of the largest deposits from northwest Saqqara implies that the center of manufacturing was located in the Memphite area in the reigns of Amenophis II and Tuthmosis IV, although the manufacturing center was subsequently moved to Malkata, in Thebes, in the reign of Amenophis III, and Amarna in the reign of Akhenaten. The quality of decorations, which is higher than contemporary Theban blue painted pottery, supports this idea. The decorative skills as well as the quality of the blue painted pottery from northwest Saqqara can be reasonably associated with some of the most skilled artists in New Kingdom Egypt. © Archaeopress and the authors 2017. All rights reserved.",Takahashi Kazumitsu,Institute of Egyptology Waseda University\Tokyo\Japan,-,Amenophis II; Blue painted pottery; Mid 18th Dynasty; New Kingdom; Tuthmosis IV
220.html,An underappreciated hotspot of antibiotic resistance: The groundwater near the municipal solid waste landfill,"Landfills are so far the most common practice for the disposals of municipal solid waste (MSW) worldwide. Since MSW landfill receives miscellaneous wastes, including unused/expired antibiotics and bioactive wastes, it gradually becomes a huge potential bioreactor for breeding antibiotic resistance. Antibiotic resistance genes (ARGs) in landfill can flow to the environment through leakage of landfill leachate and pose a risk to public health. Using high throughput quantitative Polymerase Chain Reaction (HT-qPCR), we investigated the prevalence, diversity of ARGs and its association with various mobile genetic elements (MGEs) in MSW landfill groundwater. Totally 171 unique ARGs (belonging to 9 ARG types, encompassing 3 major resistance mechanisms) and 8 MGEs (6 transposase genes, and 2 integron-integrase genes) were identified. The normalized abundance of ARG was ranging from 0.24 to 5.66 copies/cell with multidrug, beta-lactams and tetracycline resistance genes being the most abundant ARG types. The co-occurrence pattern and significant correlation between MGEs and ARGs, indicated that MGEs may play an important role in the persistence and proliferation of ARGs. A Mantel test and Procrustes analysis suggested that ARG profiles were significantly correlated with bacterial community. Variation partitioning analysis (VPA) further demonstrated that bacterial community shifts contribute 65.8% of the total ARG variations. Additionally network analysis revealed that 15 bacterial taxa at family level might be the potential hosts of ARGs. These findings provide evidence that groundwater near MSW landfill is an underappreciated hotspot of antibiotic resistance and contribute to the spread of ARGs via the flowing contaminated groundwater. © 2017 Elsevier B.V.",Chen Qing-Lin; Li Hu; Zhou Xin-Yuan; Zhao Yi; Su Jian-Qiang; Zhang Xian; Huang Fu-Yi,Key Laboratory of Urban Environment and Health\Institute of Urban Environment\China; University of Chinese Academy of Sciences\19A Yuquan Road\China; Department of Plant and Environmental Sciences\Faculty of Science\Denmark,-,Antibiotic resistance; Groundwater; HT-qPCR; Network analysis
221.html,Confinement – assisted shock-wave-induced thin-film delamination (SWIFD) of copper indium gallium diselenide (CIGS) on a flexible substrate,"The laser structuring of CIGS (copper indium gallium (di)selenide) solar cell material without influence and damaging the functionality of the active layer is a challenge for laser methods The shock-wave-induced thin-film delamination (SWIFD) process allows structuring without thermal modifications due to a spatial separation of the laser absorption from the functional layer removal process. In the present study, SWIFD structuring of CIGS solar cell stacks was investigated. The rear side of the polyimide was irradiated with a KrF-Excimer laser. The laser-induced ablation process generates a traverse shock wave, and the interaction of the shock wave with the layer-substrate interface results in a delamination process. The effect of a water confinement on the SWIFD process was studied where the rear side of the substrate was covered with a ∼2 mm thick water layer. The resultant surface morphology was analysed and discussed. At a sufficient number of laser pulses N and laser fluences Φ, the CIGS layer can be selectively removed from the Mo back contact. The water confinement, as well as the increasing laser beam size A0and N, results in the reduction of the necessary minimal laser fluence Φth. Further, the delaminated CIGS area increased with increasing Φ, N, and A0.                          © 2017 Elsevier B.V.",Lorenz Pierre; Zagoranskiy Igor; Ehrhardt Martin; Han Bing; Bayer Lukas; Zimmer Klaus,Leibniz-Institut für Oberflächenmodifizierung e. V.\Permoserstr. 15\Germany; Laser-Material Interaction Lab\2011 Co-innovation Center\China,-,CIGS; Confinement; Delamination; Nanosecond laser; Shock wave; Solar cell; SWIFD
222.html,"Raman, EPR and ethanol sensing properties of oxygen-Vacancies SrTiO3-δcompounds","Polycrystalline SrTiO3-δpowders with cubic perovskite phase were prepared by solid-state reaction method followed by the creation of oxygen vacancies δ-thermal activated. The Raman spectroscopic investigation was carried out in a frequency range of 100–2000 cm−1, and the second-order Raman modes were observed at room temperature. The Electron Paramagnetic Resonance (EPR) results revealed that SrTiO3-δsamples had evident EPR signals that increased significantly with oxygen-vacancy concentrations. The incorporation of oxygen vacancies was found to decrease the thermal resistivity. Besides, the electrical sensing measurements showed that sensors based on SrTiO2.925(STO1) and SrTiO2.875(STO2) exhibited semiconductor behavior, while SrTiO2.75-based sensor (STO3) revealed the introduction of a metallic behavior at low temperature. Furthermore, these measurements confirmed that the resistivity increased after the introduction of the ethanol gas, which indicates that our samples can be considered as sensors for ethanol gas detection. The formation of oxygen vacancies under ethanol exposure at the surface of SrTiO3-δsensors was evaluated by photoluminescence.                          © 2017 Elsevier B.V.",-,Laboratoire de Physique Appliquée\Faculté des Sciences\Tunisia; I3N and Physics Department\University of Aveiro\Portugal,-,EPR; Gas-sensor; Oxygen vacancies; Raman; SrTiO3
223.html,Application and validation of a new approach for modelling benthic invertebrate dispersal: First colonisation of a former open sewer system,"Within a heavily modified catchment, formerly polluted streams are now free of untreated wastewater. Additionally, the morphology of streams has been improved by physical habitat restoration. Both water quality and structural improvements offered a unique opportunity to investigate the recolonisation of restored sections by benthic macroinvertebrates. As dispersal is a key mechanism for recolonisation, we developed a method to predict the dispersal of 18 aquatic insect taxa to 35,338 river sections (section length: 2 m) within the catchment. Source populations of insect taxa were sampled at 33 sites. In addition, 14 morphologically restored sites were sampled and constituted the validation dataset. We applied a “least-cost” modelling approach within a raster-based GIS model, combining taxon-specific aquatic and terrestrial dispersal capabilities with the “friction” that physical migration barriers impose on dispersal of aquatic and terrestrial stages. This taxon-specific modelling approach was compared to a conservative modelling approach, assuming a Euclidean distance of 5 km as the maximum dispersal distance for any source population regardless of dispersal barriers. Least-cost modelling showed a significantly better performance in terms of the correct classification rate (CCR) and true predicted absences (specificity), with on average 37% points higher CCR and 42% points higher specificity. Sensitivity was 18% points lower. At 71% of the validation sites, recolonisation was predicted with at least a modest goodness of fit (CCR > 70%). Conversely, the conservative modelling approach achieved a modest goodness of fit for only 14% of the validation sites. For 44% of the taxa, least-cost modelling showed a high CCR (= 100%), whereas the conservative approach showed a high CCR for none of the taxa. Our approach can help water managers select appropriate sites for restoration to increase recolonisation and biological recovery. © 2017 Elsevier B.V.",Sondermann Martin; Gies Maria; Hering Daniel; Winking Caroline; Feld Christian K.,Department of Aquatic Ecology\Faculty of Biology\Germany; Science Support Centre\University of Duisburg-Essen\Germany; Centre of Water and Environmental Research\University of Duisburg-Essen\Germany; Emschergenossenschaft/Lippeverband\Kronprinzenstrasse 24\Germany,-,Benthos; Dispersal; Fresh waters; Modelling/statistics; Restoration
224.html,High-temperature oxidation of advanced FeCrNi alloy in steam environments,"Alloys of iron-chromium-nickel are being explored as alternative cladding materials to improve safety margins under severe accident conditions. Our research focuses on non-destructively investigating the oxidation behavior of the FeCrNi alloy “Alloy 33” using synchrotron-based methods. The evolution and structure of oxide layer formed in steam environments were characterized using X-ray diffraction, hard X-ray photoelectron spectroscopy, X-ray fluorescence methods and scanning electron microscopy. Our results demonstrate that a compact and continuous oxide scale was formed consisting of two layers, chromium oxide and spinel phase (FeCr2O4) oxides, wherein the concentration of the FeCr2O4phase decreased from the surface to the bulk-oxide interface.                          © 2017",Elbakhshwan Mohamed S.; Gill Simerjeet K.; Rumaiz Abdul K.; Bai Jianming; Ghose Sanjit; Rebak Raul B.; Ecker Lynne E.,Nuclear Science and Technology Department\Brookhaven National Laboratory\United States; National Synchrotron Light Source II\Brookhaven National Laboratory\United States; General Electric Global Research\General Electric\United States,-,Alloy 33; FeCrNi alloy; HAXPES; SEM; Steam oxidation; XRD; XRF
225.html,Development of a phage chemiluminescent enzyme immunoassay with high sensitivity for the determination of imidaclothiz in agricultural and environmental samples,"In this study, we isolated six phage-displayed peptides by biopanning phage-displayed peptide libraries on an immobilized anti-imidaclothiz monoclonal antibody. After analyzing the relative sensitivity of the individual phage-displayed peptides, we subsequently developed and optimized both a phage enzyme immunoassay (P-ELISA) and a phage chemiluminescent enzyme immunoassay (P-CLEIA) to improve the sensitivity and linear range of imidaclothiz assays. The P-CLEIA (50% inhibition concentration (IC50) of 0.86 ng mL− 1, linear range of 0.13–5.84 ng mL− 1) was more sensitive and had a wider linear range compared to the P-ELISA (IC50of 1.45 ng mL− 1, linear range of 0.55–3.82 ng mL− 1). Besides, the sensitivities of the P-ELISA and P-CLEIA were increased by > 4-fold and 8-fold, respectively as compared to homologous immunoassays developed using the same monoclonal antibody. Neither method had significant cross-reactivity with the analogues of imidaclothiz except for imidacloprid. Recoveries of the P-ELISA and P-CLEIA for imidaclothiz in paddy water, soil, cabbage, rice, apple, pakchoi, pear and tomato samples were 72.3–101.3% and 73.9–102.6%, respectively. The P-ELISA and P-CLEIA detected imidaclothiz in the authentic samples, and showed good correlation with results obtained from high-performance liquid chromatography (HPLC). © 2017 Elsevier B.V.",Ding Yuan; Hua Xiude; Sun Nana; Yang Jiachuan; Deng Jiaqi; Shi Haiyan; Wang Minghua,College of Plant Protection\Nanjing Agricultural University\China; State & Local Joint Engineering Research Center of Green Pesticide Invention and Application\Nanjing\China,-,Imidaclothiz; Peptidomimetics; Phage chemiluminescent enzyme immunoassay; Phage enzyme-linked immunosorbent assay; Phage-displayed peptide
226.html,Heterojunction of n-type Sr2TiO4with p-type Bi5O7I with enhanced photocatalytic activity under irradiation of simulated sunlight,"In this study, n-type Sr2TiO4and p-type Bi5O7I, which have identical layered structures, were coupled and loaded with Ag to form a heterojunction photocatalyst. The synthesized Ag-loaded Bi5O7I/Sr2TiO4heterojunction composite showed higher photocatalytic activity toward the degradation of methyl orange (MO) dye under irradiation of simulated sunlight than did a bare Sr2TiO4sample. X-ray diffraction, UV–vis diffuse reflectance spectroscopy, and scanning electron microscopy analyses revealed that under alkaline conditions, bismuth ions penetrate into the Bi5O7I/Sr2TiO4heterojunction and replace titanium ions owing to pH changes and the identical layered structures of Bi5O7I and Sr2TiO4, thus causing a reduction in the band-gap energies. Loading of Ag nanoparticles as a co-catalyst onto the Sr2TiO4surface did not yield a p-n heterojunction or cause any improvement in the photocatalytic degradation activity. However, owing to the p-n junction, the internal built-in electric field within the space charge region at the Bi5O7I/Sr2TiO4interface, and the electron-capture ability of Ag and localized surface plasmon resonance effect, the photo-excited electrons and holes separated and migrated effectively and the photocatalytic activity increased significantly. These results reveal that the Ag-loaded Bi5O7I/Sr2TiO4heterojunction can serve as a promising photocatalyst.                          © 2017 Elsevier B.V.",Hu Chechia; Chen Tsz-Shin; Huang Hui-Xin,Department of Chemical Engineering and R&D Center for Membrane Technology\Chung Yuan Christian University\Taiwan,-,Ag loading; Bi5O7I; Heterojunction; Photocatalyst; Sr2TiO4
227.html,"Preparation, characterization and application of dispersible and spherical Nano-SiO2@Copolymer nanocomposite in leather tanning","Dispersible and spherical silica nanoparticles (nano-SiO2) were prepared with tetraethyl silicate and different surface-modifiers via a simple method. The silica nanoparticles surface-modified with methacryloxy (propyl) trimethoxysilane (denoted as MPS-SiO2), dimethyl diallyl ammoniumchloride (denoted as DMDAAC-SiO2) and poly (methacrylic acid) (denoted as PMAA-SiO2) which are known as hydrophobic, amphiphilic and hydrophilic modifiers, respectively, exhibited excellent dispersibility in various solvents or polymer matrix. The obtained bare silica nanoparticles, MPS-SiO2, DMDAAC-SiO2and PMAA-SiO2were characterized by Fourier transform infrared spectra (FTIR), thermogravimetric analysis (TGA), transmission electron microscope (TEM) and scanning electron microscope (SEM). A series of nanocomposites (denoted as SiO2/P, MPS-SiO2/P, DMDAAC-SiO2/P and PMAA-SiO2/P, respectively) were also prepared with the bare or surface-modified silica nanoparticles and methacrylic acid-co-acrylamide-co-acrylonitrile-co-salicylic acid tetrabasic copolymer (denoted as PMAAS) and applied in leather tanning. Compared with those of the leather tanned with the commercial acrylic resin (CHINATAN OM) and pure tetrabasic copolymer tanning agents, the physical and mechanical properties, rheological properties and thermal stabilities of the leather treated with SiO2/P, MPS-SiO2/P, DMDAAC-SiO2/P or PMAA-SiO2/P founded to be improved in a significant way. Moreover, the highest shrinkage temperature of the wet-white sheepskin tanned with PMAA-SiO2/P reached to 76 °C and the thickness increase reached to 105%.                          © 2017 Elsevier B.V.",Pan Hui; Li Guang-Long; Liu Rui-Qi; Wang Su-Xia; Wang Xiao-Dong,College of Chemistry and Chemical Engineering\Henan University\China; Engineering Research Center for Nanomaterials\Henan University\China,-,Nanocomposite; Spherical nano-SiO2; Surface modification; Tanning leather; Tetrabasic copolymer
228.html,Single-layer graphene/titanium oxide cubic nanorods array/FTO heterojunction for sensitive ultraviolet light detection,"In this study, we report on the fabrication of a sensitive ultraviolet photodetector (UVPD) by simply transferring single-layer graphene (SLG) on rutile titanium oxide cubic nanorod (TiO2NRs) array. The cubic TiO2NRs array with strong light trapping effect was grown on fluorine-doped tin oxide (FTO) glass through a hydrothermal approach. The as-assembled UVPD was very sensitive to UV light illumination, but virtually blind to white light illumination. The responsivity and specific detectivity were estimated to be 52.1 A/W and 4.3 × 1012Jones, respectively. What is more, in order to optimize device performance of UVPD, a wet-chemistry treatment was then employed to reduce the high concentration of defects in TiO2NRs during hydrothermal growth. It was found that the UVPD after treatment showed obvious decrease in sensitivity, but the response speed (rise time: 80 ms, fall time: 160 ms) and specific detectivity were substantially increased. It is also found that the speicific detectivity was imporoved by six-fold to 3.2 × 1013Jones, which was the best result in comparison with previously reported TiO2nanostructures or thin film based UVPDs. This totality of this study shows that the present SLG/TiO2NR/FTO UVPD may find potential application in future optoelectronic devices and systems.                          © 2017 Elsevier B.V.",Liang Feng-Xia; Wang Jiu-Zhen; Wang Yi; Lin Yi; Liang Lin; Gao Yang; Luo Lin-Bao,School of Materials Science and Engineering\Hefei University of Technology\China; School of Electronic Science and Applied Physics\Hefei University of Technology\China,-,Light trapping effect; MSM junction; Responsivity; UV light photodetector; Wide bandgap semiconductor
