title,author,journal,year,abstract,url,citations
Constructability analysis: machine learning approach,"['MŁ Skibniewski', 'T Arciszewski']",,1997,"called a ""learning system,"" which uses machine learning methods to  For this reason, the use  of a learning program may overcome the  through the use of machine learning. Research on","/scholar?output=instlink&q=info:MS0-lyVv2dcJ:scholar.google.com/&hl=en&as_sdt=0,33&scillfp=64847478722769695&oi=lle",69
Ensemble learning techniques and its efficiency in machine learning: A survey,"['TN Rincy', 'R Gupta']",,2020,we survey the various ensemble learning techniques that is prevalent in machine learning.   to introduce a machine learning based model that applies an ensemble learning techniques.,https://ieeexplore.ieee.org/iel7/9163074/9170654/09170675.pdf,127
Medical imaging using machine learning and deep learning algorithms: a review,"['J Latif', 'C Xiao', 'A Imran', 'S Tu']",,2019,"and machine learning and deep learning  a machine, machine learning is used to achieve  artificial intelligence, while deep learning is a technique used to implement machine learning [",https://ieeeprojects.eminents.in/uploads/basepaper/ETSML009.pdf,221
"Machine learning testing: Survey, landscapes and horizons","['JM Zhang', 'M Harman', 'L Ma']",,2020,This paper provides a comprehensive survey of techniques for testing machine  learning systems; Machine Learning Testing (ML testing) research. It covers 144 papers on,https://ieeexplore.ieee.org/iel7/32/4359463/09000651.pdf,975
Machine learning approaches for the prediction of signal peptides and other protein sorting signals,"['H Nielsen', 'S Brunak', 'G von Heijne']",,1999,Preliminary work using the same NN approach as for ChloroP suggests that similar  performance levels can be reached using machine learning (our unpublished data).,https://academic.oup.com/peds/article/12/1/3/1513090,807
Data-driven machine-learning-based seismic failure mode identification of reinforced concrete shear walls,"['S Mangalathu', 'H Jang', 'SH Hwang', 'JS Jeon']",,2020,"engineering have been carried out to explore these methods. To fill this gap, and to utilize the  application of recently advanced machine learning  gradient boosting machine (LightGBM) [",https://www.sciencedirect.com/science/article/pii/S0141029619344761,263
Machine learning based aerodynamic models for rotor blades,"['D Martinez', 'J Sitaraman', 'W Brewer']",,2020,The current mid-fidelity implementation is one order of magnitude faster compared to an  engineering quality full CFD simulation and provides superior predictions than traditional lower,,10
Resume classification system using natural language processing and machine learning techniques,"['I Ali', 'N Mughal', 'ZH Khand', 'J Ahmed']",,2022,"this study will use different NLP and Machine Learning techniques to improve the efficiency  of  Further, this study will provide discriminative features to several machine learning models,",https://search.informit.org/doi/pdf/10.3316/informit.263278216314684,57
Machine learning for subsurface characterization,"['S Misra', 'H Li', 'J He']",,2019,"Machine learning (ML) is a subset of methods to achieve AI,  Deep learning (DL) is a subset  of machine learning methods  In engineering and most other domains, when people say ""AI,",,133
The role of machine learning in transforming business intelligence,['JP Bharadiya'],,2023,Feature engineering is a crucial step in the data preprocessing phase of Business   Machine Learning (ML) techniques play a vital role in feature engineering by extracting relevant,https://www.computersciencejournals.com/ijcai/article/60/4-1-2-550.pdf,67
Shifting machine learning for healthcare from development to deployment and from models to data,"['A Zhang', 'L Xing', 'J Zou', 'JC Wu']",,2022,"In the past decade, the application of machine learning (ML) to healthcare has helped drive  the automation of physician tasks as well as enhancements in clinical capabilities and",https://www.nature.com/articles/s41551-022-00898-y,234
Failure mode prediction of reinforced concrete columns using machine learning methods,"['H Naderpour', 'M Mirrashid', 'P Parsa']",,2021,"They are machine learning-based approaches that are widely implemented to classify the   In this article, machine learning-based models were proposed to classify the failure modes in",https://www.sciencedirect.com/science/article/pii/S0141029621013869,96
Constructing site-specific multivariate probability distribution model using Bayesian machine learning,"['J Ching', 'KK Phoon']",,2019,This study proposes a novel data-driven Bayesian machine learning method for constructing  site-specific multivariate probability distribution models in geotechnical engineering. There,,161
Model-based machine learning,['CM Bishop'],,2013,"machine learning. We therefore turn to an alternative paradigm for the creation of machine  learning  After summarizing the goals of model-based machine learning in §2, we show how",https://royalsocietypublishing.org/doi/full/10.1098/rsta.2012.0222,311
Facilities Layout in Uncertainty Demand and Environmental Requirements by Machine Learning Approach,"['F Shoushtari', 'EK Zadeh', 'A Daghighi']",,2024,This paper proposes a novel framework for facilities layout design that integrates machine  learning (ML) with traditional optimization techniques. The framework accounts for demand,https://www.researchgate.net/profile/Ali-Daghighi/publication/385943286_Facilities_Layout_in_Uncertainty_Demand_and_Environmental_Requirements_by_Machine_Learning_Approach/links/673d1212b94c451c11667cc4/Facilities-Layout-in-Uncertainty-Demand-and-Environmental-Requirements-by-Machine-Learning-Approach.pdf,20
Machine learning ddos detection for consumer internet of things devices,"['R Doshi', 'N Apthorpe', 'N Feamster']",,2018,"ANOMALY DETECTION PIPELINE In this section, we present a machine learning DDoS  detection  IoT device behaviors to feature engineering can enhance DoS detection performance.",https://ieeexplore.ieee.org/iel7/8420091/8424589/08424629.pdf,929
Machine learning-assisted directed protein evolution with combinatorial libraries,"['Z Wu', 'SBJ Kan', 'RD Lewis']",,2019,Previous applications of machine learning in protein engineering have identified beneficial   Here we use machine learning to enhance directed evolution by using combinatorial,https://www.pnas.org/doi/full/10.1073/pnas.1901979116,556
Spam detection using bidirectional transformers and machine learning classifier algorithms,"['Y Guo', 'Z Mustafaoglu']",,2023,from transformer (BERT) and machine learning algorithms to classify ham or spam emails.   Four classifier algorithms in machine learning were employed to classify the features of the,http://ojs.bonviewpress.com/index.php/JCCE/article/download/192/131,179
Detecting the nature of change in an urban environment: A comparison of machine learning algorithms,"['JCW Chan', 'KP Chan', 'AGO Yeh']",,2001,"The performance of difference machine learning algorithms for detecting nature of change   four machine learning algorithms, namely Multi-Layer Perceptrons [MLP), Learning Vector",https://www.asprs.org/wp-content/uploads/pers/2001journal/february/2001_feb_213-225.pdf,251
Diabetes prediction using machine learning techniques,"['M Soni', 'S Varma']",,2020,"- When data has been ready we apply Machine Learning Technique. We use different  classification and ensemble techniques, to predict diabetes. The methods applied on Pima",https://www.academia.edu/download/64739619/diabetes_prediction_using_machine_learning_techniques_IJERTV9IS090496.pdf,184
Scaling up machine learning: Parallel and distributed approaches,"['R Bekkerman', 'M Bilenko', 'J Langford']",,2011,"material on machine learning algorithms and parallel  machine learning and parallel/distributed  computing, along with college-level mathematical maturity. We hope that an engineering",https://sisis.rz.htw-berlin.de/inh2012/12422753.pdf,663
Machine Learning Semi-Supervised Algorithms for Gene Selection: A Review,"['DQ Zeebaree', 'DA Hasan']",,2021,"machine learning algorithms for gene selection. These days, Semisupervised machine learning  is  in this research paper on semi-supervised learning for gene selection, the best way to",https://ieeexplore.ieee.org/iel7/9612426/9612427/09612526.pdf,140
Multi-objective optimization design through machine learning for drop-on-demand bioprinting,"['J Shi', 'J Song', 'B Song', 'WF Lu']",,2019,"machine learning is herein proposed to map out this nonlinear and complex model. Machine  learning  effective in both classification and regression in many engineering fields [14], [15], [",https://www.sciencedirect.com/science/article/pii/S2095809918310105,93
Learnable evolution model: Evolutionary processes guided by machine learning,['RS Michalski'],,2000,", engineering design, game playing, machine learning, evolvable hardware, and others. The  Darwinian-type evolutionary computation is, however, semi-blind: the mutation is a random",https://link.springer.com/content/pdf/10.1023/a:1007677805582.pdf,328
Student performance prediction using machine learning,"['H Agrawal', 'H Mavani']",,2015,"than any other machine learning algorithm. However, the crucial contribution of this study  was that time-invariant features may be detrimental to the machine learning process, and",https://www.academia.edu/download/64227649/student-performance-prediction-using-machine-learning-IJERTV4IS030127.pdf,104
Machine learning theory and practice as a source of insightinto universal grammar,"['S Lappin', 'SM Shieber']",,2007,"that machine learning approaches to naturallanguage processing being developed in  engineering We argue that, in principle, machine learning results could inform basic debates about",https://www.cambridge.org/core/services/aop-cambridge-core/content/view/24CC34208A84F95996FC79EAF7F76B85/S0022226707004628a.pdf/machine_learning_theory_and_practice_as_a_source_of_insightinto_universal_grammar.pdf,84
A review of machine learning,"['DM Dutton', 'GV Conroy']",,1997,"paper reviews Machine Learning (ML), and extends and complements previous work (Kocabas,  1991; Kalkanis and Conroy, 1991). Although this paper focuses on inductive learning, it",https://www.cambridge.org/core/services/aop-cambridge-core/content/view/9C74F5743FEC275A4B9C2590661321A2/S026988899700101Xa.pdf/a-review-of-machine-learning.pdf,128
A framework for adoption of machine learning in industry for software defect prediction,"['R Rana', 'M Staron', 'J Hansson']",,2014,"Literature Review: To capture the factors that affect the adoption of ML techniques in industry  we searched for likely factors mentioned in software engineering, machine learning and",https://ieeexplore.ieee.org/iel7/7287493/7293807/07293887.pdf,67
Bias in machine learning software: Why? how? what to do?,"['J Chakraborty', 'S Majumder', 'T Menzies']",,2021,In §3 we said a machine learning model acquires bias from training data. RQ1 asks for  the signals we must see to identify whether training data has bias or not. That is an important,https://dl.acm.org/doi/pdf/10.1145/3468264.3468537,222
Understanding machine learning: From theory to algorithms,"['S Shalev-Shwartz', 'S Ben-David']",,2014,"Machine learning is one of the fastest growing areas of computer science, with far-reaching  applications. The aim of this textbook is to introduce machine learning,  engineering students.",https://mlodyobywatel.ceo.org.pl/sites/mlodyobywatel.ceo.org.pl/files/webform/pdf-understanding-machine-learning-from-theory-to-algorithms-shai-shalev-shwartz-shai-ben-david-pdf-download-free-book-171ad88.pdf,8440
Smart machining process using machine learning: A review and perspective on machining industry,"['DH Kim', 'TJY Kim', 'X Wang', 'M Kim', 'YJ Quan']",,2018,Machine learning can be utilized  machine tools are fully connected through a cyber-physical  system. This paper reviews and summarizes machining processes using machine learning,https://link.springer.com/article/10.1007/s40684-018-0057-y,318
Machine learning framework for predicting failure mode and shear capacity of ultra high performance concrete beams,"['R Solhmirzaei', 'H Salehi', 'V Kodur', 'MZ Naser']",,2020,"This paper presents a data-driven machine learning (ML) framework for predicting failure  mode and shear capacity of Ultra High Performance Concrete (UHPC) beams. To this end, a",https://www.sciencedirect.com/science/article/pii/S0141029620338220,160
Automated bug assignment: Ensemble-based machine learning in large scale industrial contexts,"['L Jonsson', 'M Borg', 'D Broman', 'K Sandahl']",,2016,"Machine learning is a field of study where computer programs can  what machine learning  means in our context, focusing on supervised machine learning—the type of machine learning",https://link.springer.com/article/10.1007/s10664-015-9401-9,183
Machine learning in oil and gas; a SWOT analysis approach,['Y Hajizadeh'],,2019,"Whether you are a C-suite executive, or a hands-on field engineer, you have heard about  Machine Learning (ML) as a part of digital transformation initiatives. Machine learning can",https://www.sciencedirect.com/science/article/pii/S0920410519301275,138
Recognising weeds in a maize crop using a random forest machine-learning algorithm and near-infrared snapshot mosaic hyperspectral imagery,"['J Gao', 'D Nuyttens', 'P Lootens', 'Y He', 'JG Pieters']",,2018,"The image processing, feature engineering and machine learning techniques were   Furthermore, random forests as one of machine learning techniques were built for developing the",https://www.sciencedirect.com/science/article/pii/S153751101730778X,193
Software defect identification using machine learning techniques,"['E Ceylan', 'FO Kutlubay', 'AB Bener']",,2006,"In this work [9], different machine learning algorithms are evaluated in terms of their  capabilities in identifying and locating possible defects in a software project. Firstly, the dataset is",https://ieeexplore.ieee.org/iel5/11118/35633/01690146.pdf,102
Fetal health classification from cardiotocographic data using machine learning,"['A Mehbodniya', 'AJP Lazar', 'J Webber']",,2022,"His research interests include communications engineering, machine learning, and signal  & image processing, emphasising real-time implementation. He is a senior member of the",https://onlinelibrary.wiley.com/doi/full/10.1111/exsy.12899,87
Classification of failure mode and prediction of shear strength for reinforced concrete beam-column joints using machine learning techniques,"['S Mangalathu', 'JS Jeon']",,2018,"joints, this paper introduces the application of machine learning techniques. The efficiency  of various machine learning techniques is evaluated using extensive experimental data from",https://www.sciencedirect.com/science/article/pii/S0141029617329401,314
An analogy between various machine-learning techniques for detecting construction materials in digital images,"['A Rashidi', 'MH Sigari', 'M Maghiar', 'D Citrin']",,2016,techniques within the area of construction engineering and management is a steady  to  evaluate the performance of different machine learning techniques for detection of three common,https://link.springer.com/content/pdf/10.1007/s12205-015-0726-0.pdf,98
Comparative Evaluation of Machine Learning Models for Malicious URL Detection,"['NP Mankar', 'PE Sakunde', 'S Zurange']",,2024,"This paper investigates various machine learning techniques for  engineering, model  training and evaluation methodology followed to assess the efficacy of different machine learning",https://ieeexplore.ieee.org/iel8/10574857/10574907/10575452.pdf,42
Machine learning techniques for structural health monitoring,"['K Smarsly', 'K Dragos']",,2016,", the machine learning techniques typically applied in SHM are briefly discussed. Then, an  embedded machine learning  for assessing the condition of civil engineering structures. In",https://www.researchgate.net/profile/Kay-Smarsly/publication/303933051_Machine_learning_techniques_for_structural_health_monitoring/links/575ecd5c08aed884621b7aab/Machine-learning-techniques-for-structural-health-monitoring.pdf,85
Heart disease prediction using machine learning algorithms,"['H Jindal', 'S Agrawal', 'R Khera', 'R Jain']",,2021,"This paper shows the analysis of various machine learning algorithms, the algorithms that  are used in this paper are K nearest neighbors (KNN), Logistic Regression and Random",https://iopscience.iop.org/article/10.1088/1757-899X/1022/1/012072/pdf,277
Analyzing Arizona OSHA injury reports using unsupervised machine learning,"['A Chokor', 'H Naganathan', 'WK Chong', 'M El Asmar']",,2016,"While the previous studies have used supervised machine learning algorithms that are  time consuming, this paper investigates the strength of unsupervised machine learning",https://www.sciencedirect.com/science/article/pii/S1877705816302077/pdf?md5=027da6c0f38430e092ae84225c6c17f4&pid=1-s2.0-S1877705816302077-main.pdf&_valck=1,84
Advances in machine learning for directed evolution,"['BJ Wittmann', 'KE Johnston', 'Z Wu', 'FH Arnold']",,2021,Machine learning (ML) can expedite directed evolution by allowing researchers to move   We aim to make this accessible to a protein engineering audience and so avoid extensive,https://www.sciencedirect.com/science/article/pii/S0959440X21000154,138
Determining bug severity using machine learning techniques,"['KK Chaturvedi', 'VB Singh']",,2012,"Supervised machine learning technique is widely used for  of machine learning algorithms  namely Naïve Bayes, k-Nearest Neighbor, Naïve Bayes Multinomial, Support Vector Machine,",https://ieeexplore.ieee.org/iel5/6335783/6349464/06349519.pdf,133
Supervised machine learning tools: a tutorial for clinicians,"['LL Vercio', 'K Amador', 'JJ Bannister']",,2020,"concepts and methods, including deep learning, which are  of machine learning and depict  how machine learning models  of machine learning and depict how machine learning models",,130
A machine learning framework to forecast wave conditions,"['SC James', 'Y Zhang', ""F O'Donncha""]",,2018,"period were aggregated into supervised learning training and test data sets, which were  supplied to machine learning models. These machine learning models replicated wave heights",https://www.sciencedirect.com/science/article/pii/S0378383917304969,358
Explainable machine-learning predictions for the prevention of hypoxaemia during surgery,"['SM Lundberg', 'B Nair', 'MS Vavilala', 'M Horibe']",,2018,"We present an ensemble-model-based machine-learning method, Prescience, that predicts   step forwards for machine learning in medicine because although machine-learning models",https://www.nature.com/articles/s41551-018-0304-0,1604
A framework for analyzing ransomware using machine learning,"['S Poudyal', 'KP Subedi']",,2018,Forensic analysis such as reverse engineering of executables (or binary files) is the  a  reverse engineering framework incorporating feature generation engines and machine learning (,https://www.researchgate.net/profile/Dipankar-Dasgupta/publication/334559366_A_Framework_for_Analyzing_Ransomware_using_Machine_Learning/links/5d314d96a6fdcc2462ebb0cd/A-Framework-for-Analyzing-Ransomware-using-Machine-Learning.pdf,124
Fake news detection using machine learning approaches,"['Z Khanam', 'BN Alwasel', 'H Sirafi']",,2021,"detection and explores the traditional machine learning models to choose the best, in order  to create a model of a product with supervised machine learning algorithm, that can classify",https://iopscience.iop.org/article/10.1088/1757-899X/1099/1/012040/pdf,227
Kernel methods and machine learning,['SY Kung'],,2014,,,400
Applying internet of things and machine-learning for personalized healthcare: Issues and challenges,"['F Ahamed', 'F Farid']",,2018,"Machine learning techniques are widely used in this regard to develop analytic models.  a  grey area when it comes to applying machine learning in this context. Clinical, behaviour and",https://ieeexplore.ieee.org/iel7/8613698/8613983/08613997.pdf,158
Interpretable XGBoost-SHAP machine-learning model for shear strength prediction of squat RC walls,"['DC Feng', 'WJ Wang', 'S Mangalathu']",,2021,"and interpretation of an advanced machine-learning model that strategically combines two   are nominally hidden in conventional machine-learning approaches. Through this setup,",,266
"Applications of computational chemistry, artificial intelligence, and machine learning in aquatic chemistry research","['L He', 'L Bai', 'DD Dionysiou', 'Z Wei', 'R Spinney']",,2021,"Computer science and engineering, which has gained rapid advancement in recent years,   of artificial intelligence, including its subset machine learning, have become major problem-",https://www.sciencedirect.com/science/article/pii/S1385894721033878,67
Machine learning approach for risk-based inspection screening assessment,"['A Rachman', 'RMC Ratnayake']",,2019,a machine learning  machine learning is proposed as the mechanism to implement the  transfer and reuse of knowledge in the RBI screening assessment. The study of machine learning,https://www.sciencedirect.com/science/article/pii/S0951832018301662,105
Smart constitutive laws: Inelastic homogenization through machine learning,"['HJ Logarzo', 'G Capuano', 'JJ Rimoli']",,2021,for homogenizing microstructures via machine learning.  cost becomes prohibitive for  engineering-scale applications. In  modeling and advanced machine learning techniques to,https://www.sciencedirect.com/science/article/pii/S0045782520306678,154
Identifying propaganda from online social networks during COVID-19 using machine learning techniques,"['AMUD Khanday', 'QR Khan', 'ST Rabani']",,2021,We consider hybrid feature engineering by combining three  engineering is required for  accomplishing better text classification results.The comparative analysis of machine learning,https://link.springer.com/article/10.1007/s41870-020-00550-5,93
Machine learning-based approaches for seismic demand and collapse of ductile reinforced concrete building frames,"['SH Hwang', 'S Mangalathu', 'J Shin', 'JS Jeon']",,2021,of machine learning approaches in earthquake engineering where mechanics-based models  are not yet available. These studies demonstrated that machine learning  machine learning,https://www.sciencedirect.com/science/article/pii/S2352710220335385,155
A comprehensive study on disease risk predictions in machine learning,"['G Saranya', 'A Pravin']",,2020,"on various disease prediction models of machine learning. The paper is structured in the  following way. Section 2 explains the basic concept of machine learning, prediction models and",https://www.academia.edu/download/64117536/34%2021109%2029feb%2022feb%204oct19%20M.pdf,56
"From challenges to implementation and acceptance: Addressing key barriers in artificial intelligence, machine learning, and deep learning","['NL Rane', 'SK Mallick', 'O Kaya']",,2024,"application areas of machine learning and deep learning, the  how machine learning and  deep learning techniques are  such as deep learning, feature engineering, nonlinearity and",https://www.researchgate.net/profile/Nitin-Rane-2/publication/385207598_From_challenges_to_implementation_and_acceptance_Addressing_key_barriers_in_artificial_intelligence_machine_learning_and_deep_learning/links/671a76ecacba566ad5fe30b0/From-challenges-to-implementation-and-acceptance-Addressing-key-barriers-in-artificial-intelligence-machine-learning-and-deep-learning.pdf,21
A machine learning-based intrusion detection for detecting internet of things network attacks,"['YK Saheed', 'AI Abiodun', 'S Misra', 'MK Holone']",,2022,", as well as different machine learning algorithms, datasets, and  machine learning-based  IDS capable of attacks detection.  present IDS-based machine learning algorithms for detecting",https://www.sciencedirect.com/science/article/pii/S1110016822001570,241
Machine learning for stock selection,"['KC Rasekhschaffe', 'RC Jones']",,2019,machine learning and provide a simple example of how investors can use machine learning   The main contributions of this article are (1) a discussion of feature engineering and some,https://www.tandfonline.com/doi/full/10.1080/0015198X.2019.1596678,190
Latest tools for data mining and machine learning,"['K Verma', 'S Bhardwaj', 'R Arya', 'MSU Islam']",,2019,"This paper discusses about different tools available for Data Mining and Machine Learning,   and feature selection for Data Mining and Machine Learning tools. It will help people for",https://www.academia.edu/download/86855178/I10030789S19.pdf,150
Machine learning in cybersecurity: Techniques and challenges,['J Bharadiya'],,2023,"security concerns with machine learning techniques themselves  machinelearning model  using supervised learning algorithms.  , feature selection and engineering play a crucial role in",https://www.ajpojournals.org/journals/index.php/EJT/article/download/1486/1609,119
Automated self-optimisation of multi-step reaction and separation processes using machine learning,"['AD Clayton', 'AM Schweidtmann', 'G Clemens']",,2020,"Here, we report the combination of multi-objective optimisation based on machine learning  methods (TSEMO algorithm) with self-optimising platforms for the optimisation of multi-step",https://www.sciencedirect.com/science/article/pii/S1385894719327536,135
Construction equipment activity recognition for simulation input modeling using mobile sensors and machine learning classifiers,"['R Akhavian', 'AH Behzadan']",,2015,"computer science, its potential in construction engineering and management (CEM) domain   the extracted features is used to train supervised machine learning classifiers. In doing so,",https://www.sciencedirect.com/science/article/pii/S1474034615000282,257
A machine-learning fatigue life prediction approach of additively manufactured metals,"['H Bao', 'S Wu', 'Z Wu', 'G Kang', 'X Peng']",,2021,"In this work, a machine learning method was adopted to explore the influence of defect  location, size, and morphology on the fatigue life of a selective laser melted Ti-6Al-4 V alloy. Both",https://www.sciencedirect.com/science/article/pii/S0013794420310663,236
Machine learning process evaluating damage classification of composites,"['M Amini', 'A Rahmani']",,2023,"-increasing applications in complex engineering systems; thus, it is  when combined with  machine learning applications can  paper is “Can machine learning techniques provide efficient",https://papers.ssrn.com/sol3/Delivery.cfm?abstractid=4331923,123
The application of machine learning to structural health monitoring,"['K Worden', 'G Manson']",,2007,"The main body of this paper will argue that machine learning theory offers a natural   Before this can begin, it is necessary to specify the remit of machine learning. This is a body of",https://www.jstor.org/stable/pdf/25190452.pdf,520
Machine learning applications in production lines: A systematic literature review,"['Z Kang', 'C Catal', 'B Tekinerdogan']",,2020,"to the application of machine learning in production lines, to  line problems addressed by  machine learning, identifies the  describe machine learning types and machine learning tasks",https://www.sciencedirect.com/science/article/pii/S036083522030485X,239
Application of machine learning and artificial intelligence in oil and gas industry,"['A Sircar', 'K Yadav', 'K Rayavarapu', 'N Bist', 'H Oza']",,2021,There are several applications of machine learning in production engineering in oil and gas  industries. The analysis of large data in short period of time for decision making is one of the,https://www.sciencedirect.com/science/article/pii/S2096249521000429,406
Efficient English text classification using selected machine learning techniques,['X Luo'],,2021,"machine learning techniques by providing a comparative analysis. Through comparative  analysis, we select the efficient machine learning  Machine learning-based text classification is",https://www.sciencedirect.com/science/article/pii/S1110016821000806,197
Heart disease prediction using machine learning techniques: a survey,"['VV Ramalingam', 'A Dandapath']",,2018,"Machine Learning algorithms and techniques have been applied to various medical  Many  researchers, in recent times, have been using several machine learning techniques to help",https://www.researchgate.net/profile/V-V-Ramalingam/publication/325116774_Heart_disease_prediction_using_machine_learning_techniques_A_survey/links/5d48560a299bf1995b68266f/Heart-disease-prediction-using-machine-learning-techniques-A-survey.pdf,356
A comparative analysis of machine learning algorithms to predict alzheimer's disease,"['M Bari Antor', 'AHMS Jamil', 'M Mamtaz']",,2021,Machine learning models are now widely used in medical diagnosis [16–19]. This paper  compares different machine learning performances to diagnose Alzheimer’s syndrome.,https://onlinelibrary.wiley.com/doi/full/10.1155/2021/9917919,141
Evaluating the performance of machine learning techniques in the classification of Wisconsin Breast Cancer,"['OI Obaid', 'MA Mohammed']",,2018,"The work revealed here expands on the starting work by; first, utilizing machine learning   Moreover, the main aim of this study is to use multi machine learning techniques for the",https://www.downloadmaghaleh.com/wp-content/uploads/edd/maghaleh/1398/yosefi.wisconsin-min.pdf,167
A comparative study on machine learning algorithms for smart manufacturing: tool wear prediction using random forests,"['D Wu', 'C Jennings', 'J Terpenny']",,2017,"prognostic methods are based on classical machine learning techniques, such as artificial   machine learning algorithms have been developed and widely applied in many engineering",https://asmedigitalcollection.asme.org/manufacturingscience/article/139/7/071018/454654,690
Predictive analysis and modelling football results using machine learning approach for English Premier League,"['R Baboota', 'H Kaur']",,2019,"Our research focuses on the use of feature engineering to create and extract meaningful  features, as well on as the application of advanced machine learning techniques, and achieves",https://www.sciencedirect.com/science/article/pii/S0169207018300116,265
"Machine learning based prediction of soil total nitrogen, organic carbon and moisture content by using VIS-NIR spectroscopy","['A Morellos', 'XE Pantazi', 'D Moshou', 'T Alexandridis']",,2016,The machine learning techniques investigated in this study can be used in field spectroscopy  for off-line and on-line prediction of the soil parameters studied in fields with similar soil,https://www.sciencedirect.com/science/article/pii/S1537511015304165,507
Machine learning applications in the resilience of interdependent critical infrastructure systems—A systematic literature review,['BA Alkhaleel'],,2024,fields to model complex systems is machine learning (ML). In  area of ICISs resilience  engineering by exploring the current  to encourage resilience engineering communities to adapt,https://www.sciencedirect.com/science/article/pii/S1874548223000598,18
Recent advances in machine learning towards multiscale soft materials design,"['NE Jackson', 'MA Webb', 'JJ de Pablo']",,2019,"In the past decade, machine-learning (ML) approaches to molecular modeling have  transformed the landscape of materials research and engineering. The success of ML applied to “",https://www.sciencedirect.com/science/article/pii/S2211339819300036,145
"Unsupervised machine learning for networking: Techniques, applications and research challenges","['M Usama', 'J Qadir', 'A Raza', 'H Arif', 'KLA Yau']",,2019,"engineering, thereby facilitating flexible, general, and automated methods of machine learning  provide an overview of applications of unsupervised learning in the domain of networking.",https://ieeexplore.ieee.org/iel7/6287639/8600701/08713992.pdf,561
Flaws detection in thin plate structures based on SBFEM and machine learning,"['L ZHAO', 'S JIANG', 'C DU']",,2021,"Combining Scaled Boundary Finite Element Method (SBFEM) and machine learning   The extreme learning machine, a machine learning model based on artificial neural network","/scholar?output=instlink&q=info:yg7JVxAP4fcJ:scholar.google.com/&hl=en&as_sdt=0,33&scillfp=17104700080825170174&oi=lle",18
Research on application of machine learning in data mining,"['X Teng', 'Y Gong']",,2018,"learning in data mining. Understanding the various machine learning techniques helps to  choose the  Therefore, this paper summarizes and analyzes machine learning technology, and",https://iopscience.iop.org/article/10.1088/1757-899X/392/6/062202/pdf,73
Leveraging uncertainty in machine learning accelerates biological discovery and design,"['B Hie', 'BD Bryson', 'B Berger']",,2020,"To illustrate the generality of our approach, we apply the same framework to two different  tasks: protein engineering and imputing gene expression values. First, we show that",https://www.cell.com/cell-systems/fulltext/S2405-4712(20)30364-1,141
Machine learning classification techniques for breast cancer diagnosis,"['DA Omondiagbe', 'S Veeramani']",,2019,"is to show that machine learning approaches which include Support Vector Machine (SVM),   Finally, this study is important in selecting a suitable machine learning algorithm when",https://iopscience.iop.org/article/10.1088/1757-899X/495/1/012033/pdf,243
Explainable machine learning model and reliability analysis for flexural capacity prediction of RC beams strengthened in flexure with FRCM,"['TG Wakjira', 'M Ibrahim', 'U Ebead', 'MS Alam']",,2022,This paper presents a data-driven approach to determine the load and flexural capacities of  reinforced concrete (RC) beams strengthened with fabric reinforced cementitious matrix (,https://www.sciencedirect.com/science/article/pii/S014102962200061X,121
Stock market prediction using machine learning,"['VKS Reddy', 'K Sai']",,2018,market using machine learning is Python. In this paper we propose a Machine Learning (ML  In this context this study uses a machine learning technique called Support Vector Machine (,https://www.academia.edu/download/57764282/IRJET-V5I10193.pdf,124
Classification of in-plane failure modes for reinforced concrete frames with infills using machine learning,"['H Huang', 'HV Burton']",,2019,"machine learning methods, which are increasingly being used by researchers in civil engineering   efficacy of applying machine learning to address complex civil engineering problems.",https://www.sciencedirect.com/science/article/pii/S2352710218313652,155
Solar radiation machine learning production depend on training neural networks with ant colony optimization algorithms,['E El-kenawy'],,2018,This paper investigates new machine learning model meanly depend on an Artificial Neural  Network (ANN) and Ant Colony Optimization (ACO). The prediction accuracy of the solar,https://www.researchgate.net/profile/El-Sayed-El-Kenawy/publication/342134825_Solar_Radiation_Machine_Learning_Production_Depend_on_Training_Neural_Networks_with_Ant_Colony_Optimization_Algorithms/links/5efbefc1a6fdcc4ca4407f7d/Solar-Radiation-Machine-Learning-Production-Depend-on-Training-Neural-Networks-with-Ant-Colony-Optimization-Algorithms.pdf,125
"Artificial intelligence and machine learning applications in smart production: Progress, trends, and directions","['R Cioffi', 'M Travaglioni', 'G Piscitelli', 'A Petrillo']",,2020,"intelligence as “artificial intelligence is the science and engineering of making intelligent  machines, especially intelligent computer programs”. Generally, the term “AI” is used when a",https://www.mdpi.com/2071-1050/12/2/492,675
A survey of machine learning applications for power system analytics,"['SM Miraftabzadeh', 'F Foiadelli']",,2019,"the use of suitable machine learning models to address  machine learning algorithms in  power systems. In this paper, a literature survey on the application of different machine learning",https://www.researchgate.net/profile/Marco-Pasetti/publication/334429726_A_Survey_of_Machine_Learning_Applications_for_Power_System_Analytics/links/5d289d1892851cf4407e6645/A-Survey-of-Machine-Learning-Applications-for-Power-System-Analytics.pdf,82
Nuclear energy system's behavior and decision making using machine learning,"['MG Fernandez', 'A Tokuhiro', 'K Welter', 'Q Wu']",,2017,"The application of machine learning and other artificial intelligence techniques have been   of machine learning methods, particularly neural networks, in the nuclear engineering domain",https://www.sciencedirect.com/science/article/pii/S0029549317304028,77
